start_time,end_time,duration_sec,move_entropy,effective_path_ratio,avg_speed,acceleration_variance,total_distance,click_count,scroll_count
2025-09-04 00:47:05,2025-09-04 00:49:05,120.21,2.8135,0.0205,469.04,2230249998155.8843,55154.14,35,575
2025-09-04 00:49:00,2025-09-04 00:50:52,111.43,2.7847,0.0098,258.76,5927831454804.704,28833.26,24,991
2025-09-04 01:01:24,2025-09-04 01:02:42,78.11,2.7797,0.0512,353.02,502993301570.4473,26700.9,29,650
2025-09-04 08:35:16,2025-09-04 08:37:16,119.67,2.8512,0.052,290.9,466449391023.4319,34811.02,30,118
2025-09-04 08:37:13,2025-09-04 08:39:13,119.92,2.8942,0.0106,291.8,61935723111.58,33617.95,32,92
2025-09-04 11:21:21,2025-09-04 11:23:18,117.82,2.8889,0.0239,414.48,24625867562.1596,48805.31,23,242
2025-09-04 11:23:17,2025-09-04 11:24:19,62.78,1.472,0.5125,12.94,3398374528.7604,812.61,1,0
2025-09-04 11:26:20,2025-09-04 11:26:37,16.63,2.8811,0.1313,436.22,68064912466.5344,7253.21,2,7
2025-09-04 11:29:09,2025-09-04 11:29:11,2.15,2.5925,0.1503,1329.7,24069851761.3319,2858.62,0,0
2025-09-04 11:29:36,2025-09-04 11:31:15,99.82,2.8991,0.0538,279.02,40814189533.7776,27850.41,9,24
2025-09-04 11:31:37,2025-09-04 11:33:09,91.59,2.6089,0.1248,147.73,32709487041.6457,13531.02,5,0
2025-09-04 11:33:37,2025-09-04 11:35:22,105.24,2.8204,0.0643,142.95,7090082063.1142,15012.67,33,0
2025-09-15 16:49:30,2025-09-15 16:49:55,25.03,2.6461,0.2268,469.89,31998198079.9263,11763.19,2,0
2025-09-15 16:51:40,2025-09-15 16:53:25,105.17,2.5697,0.1168,168.05,48996291894.7459,17592.45,8,0
2025-09-15 16:53:22,2025-09-15 16:53:59,37.76,2.1961,0.184,173.78,5066842869.4979,6320.63,4,321
2025-09-15 16:55:44,2025-09-15 16:56:19,34.33,2.5613,0.1556,394.74,11580275569.6548,13379.71,11,0
2025-09-15 18:13:48,2025-09-15 18:14:28,39.86,2.6599,0.2181,144.85,25527777595.2835,5772.85,4,65
2025-09-15 18:14:41,2025-09-15 18:16:38,117.01,2.8247,0.0165,407.87,10548260480.2883,47558.14,58,35
2025-09-15 18:16:33,2025-09-15 18:18:18,105.0,2.7984,0.0231,372.69,12453430916.7887,39131.29,25,41
2025-09-15 18:18:52,2025-09-15 18:20:40,108.09,2.7996,0.0195,266.03,8740905665.1426,28754.06,25,60
2025-09-15 18:20:35,2025-09-15 18:22:17,101.59,2.6664,0.0158,304.15,10066618890.6125,30589.9,29,19
2025-09-15 18:23:04,2025-09-15 18:24:40,96.13,2.7041,0.0046,150.64,6492076151.9177,14481.23,10,47
2025-09-15 18:24:37,2025-09-15 18:26:42,125.79,2.6147,0.0112,286.57,20164965515.3141,34000.89,13,20
2025-09-15 18:26:42,2025-09-15 18:28:41,118.72,2.6582,0.0159,316.47,12910511093.0974,31680.84,29,32
2025-09-15 18:28:41,2025-09-15 18:30:44,123.04,2.5881,0.0183,189.34,9881370051.5154,21705.58,20,57
2025-09-15 18:30:39,2025-09-15 18:31:22,42.63,2.3231,0.1341,251.55,12609447111.3729,10723.76,16,12
2025-09-15 18:46:27,2025-09-15 18:46:48,20.82,2.6868,0.2254,311.24,6386009122.3586,6432.67,8,4
2025-09-15 18:46:43,2025-09-15 18:48:32,109.19,2.7385,0.0232,247.98,16029326217.9786,27050.49,24,56
2025-09-15 18:48:49,2025-09-15 18:50:05,75.78,2.7405,0.0313,286.31,10906341532.3517,21696.45,16,6
2025-09-15 18:51:03,2025-09-15 18:52:46,103.14,2.7459,0.0293,180.37,6249743831.3628,18603.99,35,6
2025-09-15 18:52:46,2025-09-15 18:54:51,124.62,2.7545,0.0281,124.35,7679080610.0496,15496.04,11,69
2025-09-15 18:54:51,2025-09-15 18:56:11,79.76,2.4446,0.0682,83.97,12455852050.9666,6697.53,8,22
2025-09-15 18:56:56,2025-09-15 18:58:44,108.23,2.7938,0.0161,267.53,6669761498.0069,28887.16,18,29
