start_time,end_time,duration_sec,total_keypresses,median_ikd,p95_ikd,mad,auto_correction_rate,space_rate,backspace_count,space_count
2025-09-15 21:39:07,2025-09-15 21:39:19,12.28,17,0.076,0.1668,0.011,0.0,0.1765,0,3
2025-09-16 09:07:23,2025-09-16 09:08:29,65.69,201,0.099,0.1811,0.026,0.0945,0.1244,19,25
2025-09-16 10:21:30,2025-09-16 10:21:54,23.3,84,0.101,0.1695,0.0225,0.1071,0.1429,9,12
2025-09-16 10:23:01,2025-09-16 10:23:05,4.58,20,0.0985,0.195,0.02,0.0,0.15,0,3
2025-09-16 11:03:20,2025-09-16 11:04:11,51.34,177,0.101,0.1722,0.025,0.0056,0.1864,1,33
2025-09-16 11:21:56,2025-09-16 11:22:28,32.23,148,0.109,0.1982,0.022,0.027,0.0473,4,7
2025-09-16 11:22:32,2025-09-16 11:23:30,57.36,150,0.105,0.1892,0.027,0.04,0.1733,6,26
2025-09-16 12:25:45,2025-09-16 12:26:19,34.18,33,0.101,0.1924,0.03,0.1818,0.0,6,0
2025-09-16 12:26:20,2025-09-16 12:27:07,47.56,29,0.141,0.254,0.045,0.3448,0.0,10,0
2025-09-16 12:27:44,2025-09-16 12:28:19,34.32,28,0.121,0.4205,0.05,0.7143,0.0,20,0
2025-09-16 12:28:38,2025-09-16 12:28:39,1.23,5,0.131,0.2152,0.055,0.0,0.0,0,0
2025-09-16 12:29:29,2025-09-16 12:29:30,0.96,2,0.3275,0.5088,0.2015,0.0,0.0,0,0
2025-09-16 12:30:54,2025-09-16 12:31:10,15.73,13,0.1385,0.494,0.0555,0.0769,0.0,1,0
2025-09-16 12:31:34,2025-09-16 12:32:01,26.85,4,0.144,0.2953,0.0235,0.0,0.0,0,0
2025-09-16 12:32:48,2025-09-16 12:32:50,1.91,9,0.112,0.1586,0.027,0.0,0.1111,0,1
2025-09-16 12:33:34,2025-09-16 12:34:04,29.36,5,0.099,0.1172,0.008,0.0,0.0,0,0
2025-09-16 12:36:46,2025-09-16 12:36:46,0.44,2,0.3095,0.4296,0.1335,0.0,0.0,0,0
2025-09-16 12:37:49,2025-09-16 12:38:01,11.39,241,0.0185,0.0262,0.0085,0.0,0.0,0,0
2025-09-16 12:39:53,2025-09-16 12:39:55,1.35,6,0.0895,0.1178,0.0115,0.0,0.0,0,0
2025-09-16 12:43:47,2025-09-16 12:44:17,29.36,20,0.1065,0.2743,0.031,0.1,0.0,2,0
2025-09-16 12:45:34,2025-09-16 12:45:43,9.32,12,0.153,0.236,0.05,0.0833,0.0,1,0
2025-09-16 12:46:39,2025-09-16 12:47:09,30.24,10,0.16,0.395,0.104,0.0,0.0,0,0
2025-09-16 12:47:52,2025-09-16 12:48:24,32.86,5,0.2765,0.3607,0.0765,0.0,0.0,0,0
2025-09-16 12:48:29,2025-09-16 12:49:19,49.81,13,0.205,0.992,0.094,0.0,0.0,0,0
2025-09-16 13:54:32,2025-09-16 13:54:54,22.28,59,0.118,0.2453,0.028,0.2881,0.1186,17,7
2025-09-16 20:26:39,2025-09-16 20:27:11,32.04,119,0.105,0.1874,0.03,0.1681,0.1261,20,15
2025-09-16 20:29:48,2025-09-16 20:30:06,18.07,66,0.096,0.1488,0.02,0.2273,0.1212,15,8
2025-09-16 20:59:21,2025-09-16 20:59:25,3.55,18,0.1025,0.1578,0.0325,0.1667,0.1111,3,2
2025-09-16 22:19:48,2025-09-16 22:20:35,46.72,66,0.081,0.1864,0.02,0.0455,0.0606,3,4
2025-09-16 22:20:36,2025-09-16 22:21:31,54.5,98,0.109,0.3308,0.03,0.051,0.0,5,0
2025-09-16 22:22:05,2025-09-16 22:22:36,31.09,40,0.078,0.3762,0.077,0.0,0.025,0,1
2025-09-16 22:22:36,2025-09-16 22:23:15,38.15,38,0.097,0.4203,0.096,0.0,0.0,0,0
2025-09-16 22:23:39,2025-09-16 22:24:31,52.5,27,0.002,0.7,0.002,0.0,0.0,0,0
2025-09-16 22:24:43,2025-09-16 22:25:35,51.16,93,0.086,0.2908,0.029,0.2473,0.0108,23,1
2025-09-16 22:25:39,2025-09-16 22:26:38,59.68,138,0.104,0.3102,0.028,0.0652,0.0435,9,6
2025-09-16 22:26:38,2025-09-16 22:27:36,57.21,78,0.079,0.536,0.047,0.0385,0.0128,3,1
2025-09-16 22:27:40,2025-09-16 22:28:39,59.08,82,0.097,0.2534,0.024,0.0,0.0244,0,2
2025-09-16 22:28:40,2025-09-16 22:29:21,41.51,75,0.09,0.8082,0.036,0.0267,0.0267,2,2
2025-09-16 22:29:47,2025-09-16 22:30:27,40.19,20,0.0015,0.225,0.001,0.0,0.0,0,0
2025-09-16 22:32:30,2025-09-16 22:33:04,34.04,35,0.093,0.2804,0.024,0.1143,0.0286,4,1
2025-09-16 22:44:47,2025-09-16 22:44:56,8.93,10,0.0765,0.7557,0.018,0.0,0.0,0,0
2025-09-16 22:50:23,2025-09-16 22:50:23,0.27,2,0.0905,0.109,0.0205,0.0,0.0,0,0
