start_time,end_time,duration_sec,move_entropy,effective_path_ratio,avg_speed,acceleration_variance,total_distance,click_count,scroll_count
2025-09-15 21:12:07,2025-09-15 21:14:07,120.03,2.6187,0.054,448.71,20526949024.7766,53858.0,54,280
2025-09-15 21:38:46,2025-09-15 21:40:46,119.87,2.8127,0.0495,626.62,21604646304.1125,75112.9,53,9
2025-09-16 09:06:30,2025-09-16 09:08:26,116.32,2.8754,0.0732,475.42,193070098423.2755,55302.04,21,84
2025-09-16 10:21:16,2025-09-16 10:22:15,58.86,2.8972,0.1101,515.65,24253616411.352,29334.93,14,41
2025-09-16 10:22:11,2025-09-16 10:23:16,64.92,2.7879,0.1557,318.18,26853616415.3251,20174.12,16,45
2025-09-16 11:03:13,2025-09-16 11:03:59,46.56,2.8831,0.0689,496.53,74740807314.2267,22898.58,4,0
2025-09-16 11:21:28,2025-09-16 11:21:55,26.75,2.6631,0.0843,660.05,57205829234782.3,17569.26,7,6
2025-09-16 11:22:37,2025-09-16 11:23:02,24.86,2.6679,0.2511,99.05,1835434773283.5208,2422.57,1,0
2025-09-16 13:55:46,2025-09-16 13:55:56,10.06,2.6704,0.1652,708.56,7213795469.5516,7128.64,2,0
2025-09-16 20:26:24,2025-09-16 20:26:39,14.38,2.7369,0.02,2926.2,169068959441.5413,41459.23,6,0
2025-09-16 20:27:27,2025-09-16 20:27:32,5.52,2.5277,0.0133,3268.21,593226956198.674,18031.7,1,0
2025-09-16 20:29:38,2025-09-16 20:30:26,47.09,2.8858,0.0996,973.39,823274968041.7925,43493.02,5,8
2025-09-16 20:58:35,2025-09-16 20:59:35,59.57,2.8049,0.0241,464.48,346407396149.458,25940.09,20,269
2025-09-16 22:19:36,2025-09-16 22:20:19,43.32,2.655,0.0349,176.8,27860155466200.69,7613.16,7,0
2025-09-16 22:20:47,2025-09-16 22:21:35,47.86,2.4535,0.062,309.66,43567034167933.94,14713.88,11,17
2025-09-16 22:21:34,2025-09-16 22:22:36,61.82,2.581,0.042,132.26,11134456952922.1,8140.82,8,979
2025-09-16 22:22:31,2025-09-16 22:23:36,64.91,2.6594,0.0229,183.26,16274969713634.145,11896.34,22,620
2025-09-16 22:23:32,2025-09-16 22:24:37,65.23,2.8766,0.0378,101.45,7876587028169.591,6232.36,6,1627
2025-09-16 22:24:32,2025-09-16 22:25:26,53.8,2.7731,0.1635,138.91,9633382366979.15,7103.92,13,240
2025-09-16 22:25:45,2025-09-16 22:26:06,21.18,2.7907,0.1595,163.09,20191037159214.434,3454.07,3,0
2025-09-16 22:26:54,2025-09-16 22:27:20,26.33,2.7375,0.0466,247.07,72762292765341.4,6416.39,3,271
2025-09-16 22:28:48,2025-09-16 22:29:40,51.86,2.6702,0.0382,180.03,8297745760012.6045,9336.08,15,404
2025-09-16 22:29:35,2025-09-16 22:30:41,65.53,2.838,0.0446,150.05,10586413125284.715,9481.71,6,1212
2025-09-16 22:32:13,2025-09-16 22:33:12,59.51,2.8017,0.0147,176.59,20869844520602.25,10508.6,11,284
2025-09-16 22:43:57,2025-09-16 22:44:46,49.58,2.7917,0.0061,470.84,44795812792201.28,23124.01,12,178
2025-09-16 22:47:32,2025-09-16 22:47:35,2.72,2.4513,0.093,636.9,38271490315.7122,1733.2,2,0
2025-09-16 22:49:36,2025-09-16 22:50:22,46.29,2.68,0.106,168.25,37012834646.6928,7788.86,3,0
2025-09-16 22:51:33,2025-09-16 22:51:33,0.24,1.9956,0.5202,35319.73,38359448702227.63,2679.88,1,0
